Table S-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bachelor's Degree Holders in the Labor Force, by state: 2005–19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Labor force participants with bachelor's degrees,,,,,,,,,,,,,,,,Labor force participants,,,,,,,,,,,,,,,,Bachelor's degree holders as a percent of the labor force (Percent),,,,,,,,,,,,,,
State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Pennsylvania,"1,726,200","1,764,640","1,800,410","1,842,750","1,894,745","1,948,405","1,940,200","2,004,855","2,065,915","2,096,720","2,122,270","2,205,495","2,264,910","2,297,270","2,340,735",,"6,091,790","6,269,805","6,287,940","6,391,850","6,459,775","6,463,490","6,458,915","6,507,395","6,526,915","6,503,715","6,518,210","6,471,220","6,518,370","6,570,180","6,580,740",,28.3,28.1,28.6,28.8,29.3,30.1,30.0,30.8,31.7,32.2,32.6,34.1,34.7,35.0,35.6
Rhode Island,"170,490","172,710","174,775","175,830","183,930","175,495","186,075","187,490","190,650","182,600","192,790","200,030","198,040","200,310","210,470",,"551,545","565,480","557,005","561,120","568,510","551,015","569,815","565,800","567,620","561,525","559,735","554,895","570,665","558,360","572,115",,30.9,30.5,31.4,31.3,32.4,31.8,32.7,33.1,33.6,32.5,34.4,36.0,34.7,35.9,36.8
South Carolina,"490,045","496,845","530,850","543,030","573,760","584,995","560,870","600,495","629,220","636,640","666,980","685,170","708,015","731,530","763,775",,"2,060,550","2,121,260","2,140,740","2,185,580","2,224,745","2,241,090","2,235,220","2,261,270","2,297,870","2,314,815","2,336,290","2,378,485","2,412,220","2,444,595","2,475,750",,23.8,23.4,24.8,24.8,25.8,26.1,25.1,26.6,27.4,27.5,28.5,28.8,29.4,29.9,30.9
South Dakota,"98,285","105,470","107,335","110,680","108,280","116,745","115,185","117,415","119,155","126,985","125,080","131,445","131,095","137,995","142,325",,"409,055","423,825","431,830","439,240","438,445","435,450","439,730","447,300","449,365","460,450","454,995","455,465","458,680","467,570","467,010",,24.0,24.9,24.9,25.2,24.7,26.8,26.2,26.2,26.5,27.6,27.5,28.9,28.6,29.5,30.5
Tennessee,"685,630","708,815","726,355","775,350","791,520","784,780","811,460","836,460","854,940","877,565","901,665","925,355","978,550","995,435","1,059,525",,"2,930,780","2,987,365","3,060,840","3,131,780","3,115,750","3,081,520","3,113,005","3,119,990","3,157,370","3,156,635","3,198,285","3,201,340","3,292,375","3,315,105","3,367,775",,23.4,23.7,23.7,24.8,25.4,25.5,26.1,26.8,27.1,27.8,28.2,28.9,29.7,30.0,31.5
Texas,"2,788,640","2,897,700","3,011,925","3,113,815","3,193,390","3,316,610","3,416,050","3,510,630","3,699,470","3,775,115","3,924,645","4,075,840","4,218,150","4,433,840","4,583,845",,"11,024,190","11,536,865","11,647,655","12,074,440","12,210,525","12,363,610","12,520,345","12,746,810","12,992,120","13,210,840","13,437,135","13,687,705","13,918,310","14,185,655","14,465,655",,25.3,25.1,25.9,25.8,26.2,26.8,27.3,27.5,28.5,28.6,29.2,29.8,30.3,31.3,31.7
Utah,"302,170","319,415","333,565","354,975","355,485","362,080","373,740","398,290","398,015","407,730","426,250","443,575","484,790","499,305","519,950",,"1,244,025","1,272,675","1,323,770","1,363,745","1,380,170","1,355,405","1,370,085","1,408,770","1,405,335","1,435,750","1,472,535","1,515,320","1,560,700","1,583,735","1,650,950",,24.3,25.1,25.2,26.0,25.8,26.7,27.3,28.3,28.3,28.4,28.9,29.3,31.1,31.5,31.5
Vermont,"111,095","110,905","118,805","114,145","113,990","115,830","126,330","124,975","125,135","123,050","126,970","124,195","129,590","137,270","135,120",,"343,425","350,030","353,745","357,420","351,340","350,830","349,720","348,360","342,695","343,955","340,690","338,090","338,915","344,075","342,800",,32.3,31.7,33.6,31.9,32.4,33.0,36.1,35.9,36.5,35.8,37.3,36.7,38.2,39.9,39.4
Virginia,"1,298,695","1,346,940","1,388,445","1,400,545","1,442,725","1,487,740","1,539,620","1,568,095","1,616,385","1,656,540","1,678,440","1,715,475","1,763,990","1,797,625","1,820,625",,"3,828,515","3,977,670","3,983,820","4,068,255","4,081,595","4,141,905","4,175,700","4,232,930","4,269,120","4,300,220","4,317,900","4,333,640","4,365,685","4,364,135","4,404,925",,33.9,33.9,34.9,34.4,35.3,35.9,36.9,37.0,37.9,38.5,38.9,39.6,40.4,41.2,41.3
Washington,"949,695","1,008,820","1,022,795","1,050,915","1,077,385","1,087,285","1,126,340","1,131,995","1,176,675","1,203,360","1,266,455","1,338,195","1,369,915","1,440,765","1,489,970",,"3,200,855","3,296,810","3,338,250","3,405,335","3,438,310","3,440,495","3,477,745","3,511,075","3,507,115","3,564,015","3,613,425","3,696,275","3,786,165","3,858,830","3,928,760",,29.7,30.6,30.6,30.9,31.3,31.6,32.4,32.2,33.6,33.8,35.0,36.2,36.2,37.3,37.9
