,Name,2009ind,2009lab,2009ba,2010ind,2010lab,2010ba,2011ind,2011lab,2011ba,2012ind,2012lab,2012ba,2013ind,2013lab,2013ba,2014ind,2014ind,2014ba,2015ind,2015lab,2015ba,2016ind,2016lab,2016ba,2017ind,2017lab,2017ba,2018ind,2018lab,2018ba,2019ind,2019lab,2019ba
37,Oregon,"1,020,615","579,490","315,665","1,024,888","567,305","315,040","1,034,410","574,620","317,300","1,041,863","594,080","340,800","1,049,006","604,950","348,440","1,061,435","617,790","357,085","1,080,963","664,845","384,140","1,112,408","685,200","392,680","1,137,469","719,965","423,300","1,155,509","735,305","424,235","1,172,996","762,175","439,290"
38,Pennsylvania,"3,146,144","1,894,745","1,035,975","3,126,308","1,948,405","1,040,685","3,125,681","1,940,200","1,045,715","3,128,332","2,004,855","1,082,555","3,135,420","2,065,915","1,120,305","3,144,540","2,096,720","1,130,985","3,148,142","2,122,270","1,159,390","3,151,070","2,205,495","1,209,520","3,168,645","2,264,910","1,227,340","3,196,393","2,297,270","1,259,265","3,222,875","2,340,735","1,273,570"
39,Rhode Island,"266,874","183,930","94,160","263,766","175,495","92,970","262,028","186,075","91,170","261,835","187,490","93,115","262,859","190,650","93,820","264,176","182,600","91,710","265,110","192,790","95,225","266,628","200,030","104,775","267,252","198,040","102,340","270,705","200,310","100,995","273,548","210,470","110,670"
40,South Carolina,"1,195,108","573,760","315,850","1,193,666","584,995","312,195","1,191,652","560,870","315,050","1,195,740","600,495","327,530","1,204,834","629,220","344,720","1,219,478","636,640","345,700","1,236,951","666,980","355,430","1,252,837","685,170","370,085","1,268,559","708,015","378,490","1,285,375","731,530","395,245","1,303,358","763,775","416,770"
41,South Dakota,"196,965","108,280","55,005","199,015","116,745","60,425","201,106","115,185","59,990","204,203","117,415","61,270","206,526","119,155","64,520","208,082","126,985","66,225","209,070","125,080","66,160","211,867","131,445","69,025","216,529","131,095","66,485","218,772","137,995","76,385","220,928","142,325","74,695"
42,Tennessee,"1,684,731","791,520","458,485","1,677,469","784,780","442,130","1,677,851","811,460","455,455","1,685,054","836,460","475,830","1,690,596","854,940","491,515","1,700,242","877,565","491,175","1,711,613","901,665","512,470","1,726,844","925,355","516,755","1,750,044","978,550","556,840","1,773,550","995,435","553,200","1,797,314","1,059,525","592,510"
43,Texas,"7,007,959","3,193,390","1,848,860","7,096,418","3,316,610","1,891,850","7,198,429","3,416,050","1,972,065","7,320,100","3,510,630","2,023,055","7,430,277","3,699,470","2,137,395","7,575,333","3,775,115","2,222,670","7,730,258","3,924,645","2,314,775","7,865,426","4,075,840","2,389,780","7,989,180","4,218,150","2,486,160","8,098,850","4,433,840","2,606,715","8,219,202","4,583,845","2,717,435"
44,Utah,"765,668","355,485","225,715","781,612","362,080","232,955","791,821","373,740","238,955","800,765","398,290","251,525","812,373","398,015","260,905","824,361","407,730","259,125","837,655","426,250","272,775","858,898","443,575","297,280","880,412","484,790","318,820","898,476","499,305","325,885","915,259","519,950","334,445"
45,Vermont,"149,150","113,990","52,955","147,554","115,830","51,125","146,433","126,330","56,930","144,989","124,975","55,360","144,560","125,135","56,310","143,157","123,050","56,365","142,403","126,970","54,400","141,762","124,195","57,420","142,874","129,590","58,870","144,499","137,270","64,645","145,675","135,120","63,810"
46,Virginia,"2,191,638","1,442,725","815,770","2,203,579","1,487,740","842,295","2,214,975","1,539,620","878,900","2,232,302","1,568,095","887,285","2,245,101","1,616,385","898,630","2,254,119","1,656,540","931,855","2,258,180","1,678,440","928,960","2,261,664","1,715,475","943,490","2,274,775","1,763,990","970,010","2,288,181","1,797,625","992,345","2,302,877","1,820,625","1,001,990"
47,Washington,"1,835,742","1,077,385","602,270","1,846,434","1,087,285","600,855","1,868,822","1,126,340","610,785","1,888,261","1,131,995","618,790","1,907,793","1,176,675","650,175","1,939,655","1,203,360","683,365","1,981,767","1,266,455","718,770","2,037,702","1,338,195","763,975","2,099,899","1,369,915","799,730","2,153,138","1,440,765","864,890","2,200,216","1,489,970","878,310"
48,West Virginia,"460,260","176,300","93,105","457,929","181,305","97,890","455,784","191,630","104,925","453,037","191,040","101,830","449,970","188,280","102,175","447,332","190,830","103,970","444,712","192,865","106,555","440,808","201,880","110,950","435,799","188,750","102,440","431,393","201,375","106,375","427,806","201,405","111,125"
49,Wisconsin,"1,452,804","804,090","438,370","1,445,127","829,775","440,270","1,436,604","832,600","442,835","1,428,023","857,905","458,470","1,423,474","872,680","466,750","1,419,403","902,315","474,985","1,414,596","908,040","477,135","1,414,290","930,715","497,605","1,425,720","961,490","512,570","1,440,982","962,100","511,990","1,454,297","1,006,925","542,485"
50,Wyoming,"143,309","66,535","34,280","144,960","72,930","35,805","145,993","72,735","38,625","149,161","74,650","36,980","150,776","80,780","43,950","151,600","78,975","40,715","152,933","74,935","42,315","152,602","80,810","43,410","150,863","78,275","43,110","150,456","78,605","44,110","150,718","80,370","44,925"
